SchoolName,COUNTA of Level,School Type,Jewish,Catholic,Religious,Student Teacher Ratio,Students
ACADEMY OF MOUNT SAINT URSULA,0,1,0,1,1,15.62,289.0
ACADEMY OF ST. DOROTHY,3,1,0,1,1,18.63,191.0
AHI EZER YESHIVA,4,1,1,0,1,8.68,176.0
AL IMAN SCHOOL,7,1,0,0,1,5.9,68.0
AL-IHSAN ACADEMY,1,1,0,0,1,11.13,463.0
AL-MADINAH SCHOOL,5,1,0,0,1,15.24,812.0
AL-MAMOOR SCHOOL,1,1,0,0,1,10.56,255.0
AL-NOOR SCHOOL,1,1,0,0,1,9.31,568.0
All Hallows high School,2,1,0,1,1,9.43,415.0
ARCHBISHOP MOLLY HIGH SCHOOL,2,1,0,1,1,21.39,1506.0
ARISTA PREPARATORY ACADEMY,4,1,0,0,0,7.33,22.0
BAIS YAAKOV,2,1,1,0,1,8.6,530.0
BAIS YAAKOV OF 18TH AVE,4,1,1,0,1,13.58,300.0
BASIS INDEPENDENT MANHATTAN,2,1,0,0,0,4.46,140.0
BATTALION CHRISTIAN ACADEMY,3,1,0,0,1,9.5,57.0
BET YAAKOV ATERET TORAH,4,1,1,0,1,5.96,844.0
BETH CHANA SCHOOL,4,1,1,0,1,15.26,370.0
BETH CHANA SCHOOL FOR GIRLS,4,1,1,0,1,15.26,370.0
BNOS BAIS YAAKOV OF FAR ROCKAWAY,1,1,1,0,1,10.24,1391.0
BNOS LEAH HIGH SCHOOL,6,1,1,0,1,3.76,173.0
BNOS MALKA ACADEMY,5,1,1,0,1,12.49,412.0
BRITISH INTERNATIONAL SCHOOL,0,1,0,0,0,5.04,262.0
BROOKLYN FRIENDS SCHOOL,2,1,0,0,1,4.42,657.0
BROOKLYN FRIENDS SCHOOL,2,1,0,0,1,4.42,657.0
BROOKLYN INDEPENDENT,3,1,0,0,0,16.8,84.0
CAMBRIA CENTER FOR THE GIFTED CHILD,1,1,0,0,0,13.92,346.0
Cardinal Hayes,2,1,0,1,1,17.0,748.0
CATHEDRAL SCHOOL,2,1,0,1,1,16.03,489.0
CHRIST THE KING HIGH SCHOOL,5,1,0,1,1,17.68,665.0
CHRIST THE KING SCHOOL,2,1,0,1,1,10.43,272.0
CHURCHILL SCHOOL & CENTER,1,1,0,0,0,3.01,398.0
COLUMBIA GRAMMAR & PREP SCHOOL,2,1,0,0,0,5.79,1162.0
CONGREGATION BNOS CHAYA,3,1,1,0,1,20.71,323.0
CONGREGATION BNOS CHAYA,2,1,1,0,1,20.71,323.0
